phrases

доброе утро|dobro jutro
добрый день|dobar dan
добрый вечер|dobro veče
привет|zdravo
до свидания|doviđenja
спокойной ночи|laku noć
пожалуйста (ответ на спасибо)|molim
пожалуйста (прошу, на, возьми)|izvolite
спасибо|hvala
извини(те)|izvini(te)
(очень) приятно|prijatno
как (ваши) дела?|kako ste?
неплохо|nije loše
спасибо, хорошо|hvala, dobro
очень хорошо|vrlo dobro
как (твои) дела?|kako si?
позвольте вам представить, это ...|da vas upoznam, ovo je ...
приятно познакомиться|drago mi je
вы говорите по-сербски?|govorite li srpski?
говорю|govorim
не говорю|ne govorim
немного говорю|govorim malo
говорите по-английски?|da li govorite engleski?
понимаете ли ...?|razumete li....?
понимаю|razumem
не понимаю|ne razumem
усу сербский|učim srpski
пожалуйста, повторите|molim vas, ponovite.
я хорошо|ja sam dobro / dobro sam
