phrases

ноль|nula
один|jedan
два|dva
три|tri
четыре|četiri
пять|pet
шесть|šest
семь|sedam
восемь|osam
девять|devet
десять|deset

одиннадцать|jedanaest
двеннадцать|dvanaest
тринадцать|trinaest
четрнадцать|četrnaest
пятнадцать|petnaest
шестнадцать|šesnaest
семнадцать|sedamnaest
восемнадцать|osamnaest
девятнадцать|devetnaest

двадцать|dvadeset
тридцать|trideset
сорок|četrdeset
пятьдесят|pedeset
шестьдесят|šezdeset
семьдесят|sedamdeset
восемьдесят|osamdeset
девяносто|devedeset

сто|sto
двести|dvesta
триста|trista
четыреста|četiristo
пятьсот|petsto
шестьсот|šeststo
семьсот|sedamsto
восемьсот|osamsto
девятьсот|devetsto

тысяча|hiljadu

миллион|milion
