phrases

понедельник|ponedeljak
вторник|utorak
среда|sreda
четверг|četvrtak
пятница|petak
суббота|subota
воскресение|nedelja

январь|januar
февраль|februar
март|mart
апрель|april
май|maj
июнь|jun
июль|jul
август|avgust
сентябрь|septembar
октябрь|oktobar
ноябрь|novembar
декабрь|decembar

секунда|sekunda
минута|minut
час|sat
сутки/день|dan
неделя|nedelja/sedmica
месяц|mesec
год|godina
десятилетие|dekada
век|vek

лето|leto
осень|jesen
зима|zima
весна|proleće

время|vreme
выходные|vikend
дни недели|dani u nedelji
день недели|dan u nedelji

сегодня|danas
завтра|sutra
послезавтра|prekosutra
вчера|juče
позавчера|prekjuče
